global_idx,set,orgi_index,true_label,pred_label,top1_prob
54840,test,4840,77,44,0.07220954447984695
51165,test,1165,44,93,0.08618932217359543
51603,test,1603,27,96,0.08834144473075867
50403,test,403,91,32,0.0916818156838417
10272,train,10272,7,6,0.09357208013534546
52853,test,2853,69,68,0.09372062981128693
58820,test,8820,45,74,0.09666748344898224
58429,test,8429,31,87,0.09702354669570923
43772,train,43772,93,96,0.09734823554754257
59013,test,9013,44,15,0.09793784469366074
57582,test,7582,97,38,0.09984541684389114
58325,test,8325,67,74,0.09989906847476959
50007,test,7,14,75,0.10074789077043533
51689,test,1689,29,86,0.10546059906482697
52957,test,2957,24,77,0.1060645580291748
58349,test,8349,65,64,0.10727494210004807
12225,train,12225,44,78,0.10769788175821304
57485,test,7485,29,74,0.1077561005949974
59463,test,9463,44,63,0.10970005393028259
52924,test,2924,84,84,0.10997862368822098
37805,train,37805,33,74,0.11242993921041489
57750,test,7750,15,15,0.1136675477027893
52941,test,2941,56,70,0.11487796902656555
52109,test,2109,10,60,0.1151711568236351
51692,test,1692,30,30,0.11708338558673859
55851,test,5851,44,67,0.11739485710859299
25354,train,25354,51,51,0.11762628704309464
52455,test,2455,37,3,0.11817032843828201
13753,train,13753,72,90,0.12027376145124435
50444,test,444,26,6,0.12077584117650986
57898,test,7898,72,64,0.1225065290927887
50497,test,497,77,55,0.12397892028093338
23682,train,23682,65,97,0.12445710599422455
27989,train,27989,18,18,0.12491606175899506
57756,test,7756,51,14,0.1260118931531906
54766,test,4766,64,72,0.1267722100019455
16922,train,16922,25,5,0.12698277831077576
10540,train,10540,17,15,0.12730248272418976
20996,train,20996,57,25,0.12731054425239563
55128,test,5128,19,64,0.12751713395118713
50512,test,512,35,36,0.12852995097637177
56210,test,6210,8,8,0.12908373773097992
58497,test,8497,13,94,0.12964501976966858
54865,test,4865,7,78,0.13000214099884033
24760,train,24760,86,86,0.13059751689434052
54543,test,4543,41,89,0.13072355091571808
55051,test,5051,80,80,0.13105499744415283
56187,test,6187,23,97,0.1330641210079193
50906,test,906,80,87,0.1337706297636032
52384,test,2384,51,4,0.13383373618125916
51282,test,1282,37,37,0.13539402186870575
58831,test,8831,76,80,0.13683927059173584
20932,train,20932,63,65,0.13736674189567566
55793,test,5793,73,73,0.13753826916217804
57665,test,7665,80,77,0.13760946691036224
52166,test,2166,44,1,0.13780710101127625
